condition,agent_type,seed,survival_pre,survival_post1,survival_late,coop_pre,coop_post1,coop_late,apparent_informed_pre,apparent_informed_post1,apparent_informed_late,true_informed_pre,true_informed_post1,true_informed_late,false_certified_pre,false_certified_post1,false_certified_late,certification_error_pre,certification_error_post1,certification_error_late,uncertified_true_need_pre,uncertified_true_need_post1,uncertified_true_need_late,strict_usefulness_pre,strict_usefulness_post1,strict_usefulness_late,reciprocity_pre,reciprocity_post1,reciprocity_late
reset_d50,scripted,2,100.0,100.0,100.0,19,6,7,1.0,1.0,1.0,0.9473684210526315,0.3333333333333333,1.0,0.05263157894736842,0.6666666666666666,0.0,0.05263157894736842,0.6666666666666666,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,0.0
reset_d100,dqn,2,64.33333333333333,33.33333333333333,33.33333333333333,16,0,0,1.0,0.0,0.0,0.9375,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,1.0,0.0,0.0
reset_d100,scripted,2,100.0,100.0,100.0,19,6,7,1.0,1.0,1.0,0.9473684210526315,0.3333333333333333,1.0,0.05263157894736842,0.6666666666666666,0.0,0.05263157894736842,0.6666666666666666,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,1.0
no_crisis,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
no_crisis,scripted,3,100.0,100.0,100.0,18,4,7,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0
ordinary_disturbance,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ordinary_disturbance,scripted,3,100.0,100.0,100.0,18,4,7,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0
cert_crisis_used_channel,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
cert_crisis_used_channel,scripted,3,100.0,100.0,66.66666666666666,18,7,4,1.0,1.0,1.0,0.9444444444444444,0.14285714285714285,0.0,0.05555555555555555,0.8571428571428571,1.0,0.05555555555555555,0.8571428571428571,1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0
cert_crisis_unused_channel,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
cert_crisis_unused_channel,scripted,3,100.0,100.0,100.0,18,4,12,1.0,1.0,1.0,0.9444444444444444,0.75,0.6666666666666666,0.05555555555555555,0.25,0.3333333333333333,0.05555555555555555,0.25,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,1.0
