condition,agent_type,seed,all_survived,surv_A,surv_B,surv_generalist,survival_pre,survival_post1,survival_late,coop_pre,coop_post1,coop_late,apparent_informed_pre,apparent_informed_post1,apparent_informed_late,true_informed_pre,true_informed_post1,true_informed_late,certified_give_rate_pre,certified_give_rate_post1,certified_give_rate_late,false_certified_pre,false_certified_post1,false_certified_late,certification_error_pre,certification_error_post1,certification_error_late,uncertified_true_need_pre,uncertified_true_need_post1,uncertified_true_need_late,strict_usefulness_pre,strict_usefulness_post1,strict_usefulness_late,reciprocity_pre,reciprocity_post1,reciprocity_late
no_crisis,scripted,14,1.0,1.0,1.0,1.0,100.0,100.0,100.0,18,3,8,1.0,1.0,1.0,0.9444444444444444,1.0,0.875,1.0,3.0,0.4444444444444444,0.05555555555555555,0.0,0.125,0.05555555555555555,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,15,0.0,0.0,0.0,0.0,28.499999999999996,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,15,1.0,1.0,1.0,1.0,100.0,100.0,100.0,18,3,8,1.0,1.0,1.0,0.9444444444444444,1.0,0.75,0.8571428571428571,0.75,0.8,0.05555555555555555,0.0,0.25,0.05555555555555555,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,16,0.0,0.0,0.0,0.0,35.5,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,16,1.0,1.0,1.0,1.0,100.0,100.0,100.0,18,4,6,1.0,1.0,1.0,0.8333333333333334,0.75,1.0,2.0,1.3333333333333333,1.0,0.16666666666666666,0.25,0.0,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
no_crisis,dqn,17,0.0,0.0,0.0,0.0,28.333333333333332,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,17,1.0,1.0,1.0,1.0,100.0,100.0,100.0,21,3,8,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.1666666666666667,1.5,1.6,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,18,0.0,0.0,0.0,1.0,45.666666666666664,33.33333333333333,33.33333333333333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,18,1.0,1.0,1.0,1.0,100.0,100.0,100.0,19,4,7,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.2666666666666666,2.0,1.4,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,19,0.0,0.0,0.0,1.0,55.333333333333336,33.33333333333333,33.33333333333333,2,0,0,0.5,0.0,0.0,0.5,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,19,1.0,1.0,1.0,1.0,100.0,100.0,100.0,18,4,8,1.0,1.0,1.0,0.8333333333333334,0.75,1.0,0.6428571428571429,4.0,0.8,0.16666666666666666,0.25,0.0,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
