survival_pre,coop_pre,true_informed_pre,uncert_pre,survival_post1,coop_post1,true_informed_post1,uncert_post1,survival_late,coop_late,true_informed_late,uncert_late,regrowth,consume_gain,seed
100.0,18,1.0,0.0,100.0,3,1.0,0.0,0.0,0,0.0,0.0,0.3,12.0,0
100.0,20,0.95,0.0,74.66666666666667,0,0.0,0.0,0.0,0,0.0,0.0,0.3,12.0,1
100.0,23,0.9565217391304348,0.0,100.0,24,1.0,0.0,0.0,0,0.0,0.0,0.3,12.0,2
100.0,18,0.9444444444444444,0.0,78.0,23,1.0,0.0,0.0,0,0.0,0.0,0.3,12.0,3
100.0,26,0.9230769230769231,0.0,92.66666666666666,0,0.0,0.0,11.0,0,0.0,0.0,0.3,12.0,4
100.0,20,1.0,0.0,100.0,18,0.9444444444444444,0.0,0.0,0,0.0,0.0,0.3,12.0,5
100.0,19,0.9473684210526315,0.0,100.0,5,1.0,0.0,0.0,0,0.0,0.0,0.3,12.0,6
100.0,22,0.9545454545454546,0.0,100.0,3,1.0,0.0,0.0,0,0.0,0.0,0.3,12.0,7
94.5,37,0.972972972972973,0.0,33.33333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.3,12.0,8
100.0,32,0.96875,0.0,60.0,0,0.0,0.0,0.0,0,0.0,0.0,0.3,12.0,9
100.0,18,1.0,0.0,100.0,3,1.0,0.0,0.0,0,0.0,0.0,0.3,15.0,0
100.0,20,0.95,0.0,80.0,0,0.0,0.0,0.0,0,0.0,0.0,0.3,15.0,1
100.0,23,0.9565217391304348,0.0,100.0,24,1.0,0.0,0.0,0,0.0,0.0,0.3,15.0,2
100.0,18,0.9444444444444444,0.0,78.0,23,1.0,0.0,33.33333333333333,0,0.0,0.0,0.3,15.0,3
100.0,28,0.8928571428571429,0.0,100.0,1,1.0,0.0,0.0,0,0.0,0.0,0.3,15.0,4
100.0,20,1.0,0.0,100.0,18,0.9444444444444444,0.0,0.0,0,0.0,0.0,0.3,15.0,5
100.0,19,0.9473684210526315,0.0,100.0,5,1.0,0.0,0.0,0,0.0,0.0,0.3,15.0,6
100.0,22,0.9545454545454546,0.0,100.0,3,1.0,0.0,0.0,0,0.0,0.0,0.3,15.0,7
94.5,41,0.975609756097561,0.0,48.0,0,0.0,0.0,33.33333333333333,0,0.0,0.0,0.3,15.0,8
100.0,32,0.96875,0.0,60.0,0,0.0,0.0,0.0,0,0.0,0.0,0.3,15.0,9
100.0,18,1.0,0.0,100.0,3,1.0,0.0,1.0,0,0.0,0.0,0.45,12.0,0
95.0,33,0.9696969696969697,0.0,12.666666666666668,0,0.0,0.0,0.0,0,0.0,0.0,0.45,12.0,1
100.0,23,0.9565217391304348,0.0,100.0,15,1.0,0.0,0.0,0,0.0,0.0,0.45,12.0,2
93.33333333333333,17,0.8823529411764706,0.0,38.666666666666664,0,0.0,0.0,0.0,0,0.0,0.0,0.45,12.0,3
100.0,21,1.0,0.0,100.0,5,0.8,0.0,0.0,0,0.0,0.0,0.45,12.0,4
100.0,20,1.0,0.0,100.0,18,0.9444444444444444,0.0,0.0,0,0.0,0.0,0.45,12.0,5
100.0,19,1.0,0.0,100.0,8,0.875,0.0,41.333333333333336,0,0.0,0.0,0.45,12.0,6
90.0,42,0.9523809523809523,0.0,51.33333333333333,1,1.0,0.0,0.0,0,0.0,0.0,0.45,12.0,7
94.5,37,0.972972972972973,0.0,33.33333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.45,12.0,8
100.0,32,0.96875,0.0,60.0,0,0.0,0.0,0.0,0,0.0,0.0,0.45,12.0,9
100.0,18,1.0,0.0,100.0,3,1.0,0.0,0.0,0,0.0,0.0,0.45,15.0,0
98.5,37,0.9459459459459459,0.0,43.333333333333336,0,0.0,0.0,0.0,0,0.0,0.0,0.45,15.0,1
100.0,23,0.9565217391304348,0.0,100.0,15,1.0,0.0,0.0,0,0.0,0.0,0.45,15.0,2
93.33333333333333,17,0.8823529411764706,0.0,38.666666666666664,0,0.0,0.0,0.0,0,0.0,0.0,0.45,15.0,3
100.0,21,1.0,0.0,100.0,5,0.8,0.0,0.0,0,0.0,0.0,0.45,15.0,4
100.0,20,1.0,0.0,100.0,18,0.9444444444444444,0.0,0.0,0,0.0,0.0,0.45,15.0,5
100.0,19,1.0,0.0,100.0,10,0.8,0.0,96.33333333333334,4,1.0,0.0,0.45,15.0,6
90.0,42,0.9523809523809523,0.0,54.0,1,1.0,0.0,0.0,0,0.0,0.0,0.45,15.0,7
94.5,41,0.975609756097561,0.0,48.0,0,0.0,0.0,33.33333333333333,0,0.0,0.0,0.45,15.0,8
100.0,32,0.96875,0.0,60.0,0,0.0,0.0,0.0,0,0.0,0.0,0.45,15.0,9
100.0,18,1.0,0.0,100.0,3,1.0,0.0,0.0,0,0.0,0.0,0.6,12.0,0
100.0,27,0.9629629629629629,0.0,78.0,26,1.0,0.0,0.0,0,0.0,0.0,0.6,12.0,1
100.0,16,1.0,0.0,78.66666666666666,3,1.0,0.0,51.66666666666667,0,0.0,0.0,0.6,12.0,2
100.0,18,0.9444444444444444,0.0,78.0,23,1.0,0.0,0.0,0,0.0,0.0,0.6,12.0,3
100.0,21,1.0,0.0,100.0,5,0.8,0.0,0.0,0,0.0,0.0,0.6,12.0,4
100.0,20,1.0,0.0,100.0,18,0.9444444444444444,0.0,0.0,0,0.0,0.0,0.6,12.0,5
100.0,19,1.0,0.0,100.0,8,0.875,0.0,41.333333333333336,0,0.0,0.0,0.6,12.0,6
90.0,42,0.9523809523809523,0.0,51.33333333333333,1,1.0,0.0,0.0,0,0.0,0.0,0.6,12.0,7
100.0,19,0.9473684210526315,0.0,94.0,15,1.0,0.0,0.0,0,0.0,0.0,0.6,12.0,8
84.66666666666667,19,0.8947368421052632,0.0,66.66666666666666,2,1.0,0.0,0.0,0,0.0,0.0,0.6,12.0,9
