perm,s,B_up,B_down
0.5,1.1389830508474577,0.09794455204911078,0.0979445520491671
0.5,1.1610169491525424,0.10121703076321496,0.1012170307632678
0.5,1.1830508474576271,0.10456424432897167,0.1045642443290211
0.5,1.2050847457627119,0.10798623283978274,0.10798623283982904
0.5,1.2271186440677966,0.11148297873449291,0.11148297873453612
0.5,1.2491525423728813,0.11505440815748968,0.11505440815753001
0.5,1.271186440677966,0.1187003924811891,0.11870039248122671
0.5,1.2932203389830508,0.12242074997197115,0.12242074997200612
0.5,1.3152542372881357,0.12621524758023223,0.12621524758026503
0.5,1.3372881355932202,0.13008360283511086,0.13008360283514148
0.5,1.3593220338983052,0.13402548582459364,0.13402548582462218
0.5,1.3813559322033897,0.13804052124210975,0.13804052124213637
0.5,1.4033898305084747,0.14212829048133344,0.14212829048135808
0.5,1.4254237288135592,0.14628833376171813,0.146288333761741
0.5,1.4474576271186441,0.15052015226825258,0.15052015226827375
0.5,1.4694915254237289,0.154823210290016,0.15482321029003565
0.5,1.4915254237288136,0.15919693734330842,0.15919693734332668
0.5,1.5135593220338983,0.16364073026639203,0.1636407302664091
0.5,1.535593220338983,0.16815395527419177,0.16815395527420768
0.5,1.5576271186440678,0.1727359499626296,0.17273594996264435
0.5,1.5796610169491525,0.17738602525359443,0.17738602525360825
0.5,1.6016949152542372,0.1821034672728562,0.18210346727286933
0.5,1.623728813559322,0.18688753915449335,0.18688753915450565
0.5,1.6457627118644067,0.19173748276661817,0.19173748276662989
0.5,1.6677966101694914,0.19665252035433403,0.19665252035434513
0.5,1.6898305084745762,0.20163185609692852,0.2016318560969389
0.5,1.711864406779661,0.20667467757730384,0.20667467757731373
0.5,1.7338983050847459,0.21178015716255977,0.21178015716256923
0.5,1.7559322033898306,0.21694745329546136,0.21694745329554732
0.5,1.7779661016949153,0.22611952657727616,0.22642395882511504
0.5,1.8,0.24147148389677897,0.24217171027569118
1.0,0.5,0.03240903836015832,0.032409038360192065
1.0,0.5220338983050847,0.033679974299310744,0.03367997429937206
1.0,0.5440677966101695,0.03499106137956955,0.03499106137962676
1.0,0.5661016949152542,0.03634283249136049,0.03634283249141361
1.0,0.5881355932203389,0.03773577849019558,0.03773577849024466
1.0,0.6101694915254238,0.039170345836279055,0.03917034583632416
1.0,0.6322033898305085,0.04064693441847757,0.04064693441851878
1.0,0.6542372881355932,0.04216589558568099,0.042165895585718455
1.0,0.676271186440678,0.04372753040670326,0.043727530406737165
1.0,0.6983050847457627,0.04533208817755667,0.04533208817758718
1.0,0.7203389830508474,0.04697976519224884,0.04697976519227613
1.0,0.7423728813559323,0.04867070379024922,0.0486707037902735
1.0,0.764406779661017,0.0504049916905104,0.05040499169053191
1.0,0.7864406779661017,0.05218266161847783,0.052182661618496766
1.0,0.8084745762711865,0.05400369122895318,0.054003691228969725
1.0,0.8305084745762712,0.05586800332406826,0.05586800332408269
1.0,0.8525423728813559,0.05777546636205784,0.05777546636207033
1.0,0.8745762711864407,0.05972589524906449,0.05972589524907523
1.0,0.8966101694915254,0.06171905240294282,0.061719052402952036
1.0,0.9186440677966101,0.06375464907501467,0.0637546490750226
1.0,0.9406779661016949,0.06583234691302206,0.06583234691302878
1.0,0.9627118644067796,0.06795175974617383,0.06795175974617958
1.0,0.9847457627118644,0.07011245557122482,0.07011245557122969
1.0,1.006779661016949,0.07231395871697892,0.07231395871698307
1.0,1.028813559322034,0.07455575216349127,0.07455575216349469
1.0,1.0508474576271185,0.07683727999154882,0.0768372799915516
1.0,1.0728813559322035,0.07915794993773036,0.07915794993773263
1.0,1.094915254237288,0.08151713603046006,0.08151713603046203
1.0,1.116949152542373,0.08391418128294785,0.08391418128294977
1.0,1.1389830508474577,0.08634840041971437,0.08634840041971623
1.0,1.1610169491525424,0.08881908261449464,0.08881908261449649
1.0,1.1830508474576271,0.09132549421864969,0.09132549421865155
1.0,1.2050847457627119,0.09386688146075038,0.09386688146075219
1.0,1.2271186440677966,0.09644247309968275,0.09644247309968462
1.0,1.2491525423728813,0.0990514830154164,0.09905148301541825
1.0,1.271186440677966,0.10169311272343068,0.10169311272343246
1.0,1.2932203389830508,0.10436655380067386,0.10436655380067564
1.0,1.3152542372881357,0.10707099021279631,0.10707099021279806
1.0,1.3372881355932202,0.10980560053422389,0.10980560053422556
1.0,1.3593220338983052,0.11256956005439316,0.11256956005439492
1.0,1.3813559322033897,0.11536204276513323,0.11536204276513497
1.0,1.4033898305084747,0.11818222322573613,0.1181822232257379
1.0,1.4254237288135592,0.12102927830369209,0.12102927830369374
1.0,1.4474576271186441,0.12390238879037364,0.12390238879037538
1.0,1.4694915254237289,0.12680074089212168,0.126800740892125
1.0,1.4915254237288136,0.12972352759822958,0.12972352759823286
1.0,1.5135593220338983,0.13266994992820652,0.13266994992820985
1.0,1.535593220338983,0.13563921806150026,0.13563921806150347
1.0,1.5576271186440678,0.1386305523534767,0.13863055235347993
1.0,1.5796610169491525,0.1416431842420012,0.1416431842420045
1.0,1.6016949152542372,0.14467635704937507,0.1446763570493783
1.0,1.623728813559322,0.14772932668470382,0.14772932668470712
1.0,1.6457627118644067,0.15080136225199503,0.15080136225199817
1.0,1.6677966101694914,0.15389174656942892,0.15389174656943203
1.0,1.6898305084745762,0.15699977660531808,0.15699977660532108
1.0,1.711864406779661,0.16012476383627441,0.1601247638362775
1.0,1.7338983050847459,0.16326603453306074,0.16326603453306388
1.0,1.7559322033898306,0.1664229299795048,0.1664229299795079
1.0,1.7779661016949153,0.16959480662972432,0.16959480662972734
1.0,1.8,0.17278103620874657,0.1727810362087495
