t,U,B1,T1,E1,P1,B2,T2,E2,P2,s,theta,F1,F2
137.65,0.5663572875699636,0.9221440461310305,0.12666807755453546,0.039393841038216484,0.3778310672178864,0.8594956737116949,0.1844421311217225,0.05876932105948759,0.4317356451860496,1.5,0.196,0.23466030663038312,0.2196138627751072
137.70000000000002,0.566285592706325,0.9222428102507588,0.12644685273269013,0.039388903503156575,0.37760859081834447,0.8593630945839508,0.1843329273685463,0.058822115583696655,0.4315029539956905,1.5,0.196,0.23471925814040065,0.219650052611009
137.75,0.5662136855238737,0.9223431853567472,0.12622658649204668,0.0393836354649266,0.3773861822461959,0.8592328131550852,0.18422500521387375,0.058874257488954515,0.4312703801298154,1.5,0.196,0.2347774690048243,0.21968530539232467
137.8,0.566141597805634,0.9224451332497837,0.12600726674968654,0.03937803792477894,0.37716384349989707,0.8591047762321653,0.1841183430787534,0.0589257468320091,0.43103792650659545,1.5,0.196,0.23483496314228955,0.21971964946102598
137.85,0.5660693608915228,0.9225486168883782,0.12578888155915077,0.03937211196068216,0.37694157650856386,0.8589789321511572,0.18401291958615676,0.058976583859338697,0.4308055959472237,1.5,0.196,0.2348917640855198,0.21975311271764558
137.9,0.5659970056770479,0.9226536003651102,0.12557141910951605,0.03936585872474268,0.37671938313330966,0.8588552307477552,0.18390871356113445,0.05902676900173566,0.4305733911776642,1.5,0.196,0.23494789498349836,0.21978572262320892
137.95000000000002,0.565924562612245,0.9227600488832944,0.1253548677244613,0.03935927944066889,0.3764972651685659,0.858733623328544,0.18380570403090968,0.05907630286895894,0.4303413148303807,1.5,0.196,0.23500337860373707,0.21981750620130583
138.0,0.5658520617008483,0.9228679287339601,0.12513921586132534,0.03935237540127812,0.3762752243433856,0.8586140626424952,0.18370387022491014,0.059125186244457145,0.43010936944604483,1.5,0.196,0.2350582373346394,0.21984849004029694
138.05,0.565779532499688,0.922977207273144,0.12492445211015579,0.03934514796604667,0.37605326232272984,0.8584965028527974,0.18360319157473945,0.05917342008016375,0.4298775574752242,1.5,0.196,0.23511249318795252,0.21987870029564935
138.1,0.5657070041183081,0.9230878528994951,0.12471056519274999,0.03933759855870331,0.3758313807087371,0.858380899509022,0.1835036477140897,0.05922100549136578,0.4296458812800505,1.5,0.196,0.23516616780130556,0.21990816269239616
138.15,0.5656345052187992,0.9231998350321879,0.12449754396168794,0.039329728664866226,0.37560958104197667,0.8582672095196234,0.18340521847859628,0.0592679437516474,0.42941434313586724,1.5,0.196,0.23521928244083096,0.21993690252771553
