t,U,B1,T1,E1,P1,B2,T2,E2,P2,s,theta,F1,F2
50.5,0.3283057071354854,0.13798036837152716,1.0,0.18227198216839113,0.8080759870677996,0.6965008870179883,0.020552541019953536,0.004152143612600462,0.28104478051690074,1.5,0.196,0.10613603537356868,0.20443254695197016
50.550000000000004,0.3283200761812608,0.13799839151292703,1.0,0.18226998277092463,0.8079741691873118,0.6966580434328874,0.020496959151898097,0.004144596141849234,0.28101560813686527,1.5,0.196,0.10613787231937188,0.20444464854146915
50.6,0.3283343920556879,0.138016341147742,1.0,0.18226803332755537,0.8078724455028796,0.696814824639137,0.020441562969002857,0.004137068671333791,0.2809864193252465,1.5,0.196,0.10613970343270467,0.20445668948811568
50.650000000000006,0.3283486542555407,0.13803421760569068,1.0,0.18226613315185844,0.807770815944392,0.6969712300895524,0.02038635184716351,0.00412956114600294,0.2809572143324412,1.5,0.196,0.10614152850057468,0.20446866982445663
50.7,0.32836286230249184,0.13805202121085008,1.0,0.18226428155185126,0.807669280442693,0.6971272592418231,0.02033132516435846,0.004122073510937383,0.28092799340839164,1.5,0.196,0.10614334731893207,0.20448058959707438
50.75,0.32837701574277656,0.13806975228184365,1.0,0.18226247783037186,0.8075678389295435,0.6972829115591141,0.02027648230064111,0.004114605711351182,0.2808987568025334,1.5,0.196,0.10614515969253034,0.20449244886628137
50.800000000000004,0.328391114146855,0.13808741113202572,1.0,0.18226072128545126,0.807466491337584,0.6974381865106516,0.020221822638132114,0.00410715769259318,0.28086950476374484,1.5,0.196,0.10614696543478705,0.2045042477058159
50.85,0.328405157109073,0.13810499806966253,1.0,0.1822590112106797,0.8073652376002978,0.6975930835722888,0.020167345561011615,0.004099729400148369,0.2808402375402976,1.5,0.196,0.10614876436764471,0.2045159862025404
50.900000000000006,0.32841914424732066,0.1381225133981099,1.0,0.18225734689556664,0.8072640776519748,0.6977476022270575,0.020113050455511476,0.004092320779639219,0.28081095537980805,1.5,0.196,0.10615055632143183,0.20452766445614148
50.95,0.32843307520269027,0.1381399574159873,1.0,0.1822557276258948,0.8071630114276761,0.6979017419657008,0.020058936709907473,0.0040849317768269534,0.2807816585291906,1.5,0.196,0.10615234113472378,0.20453928257883086
51.0,0.32844694963913235,0.13815733041734862,1.0,0.18225415268406794,0.8070620388631986,0.6980555022871906,0.02000500371451149,0.00407756233761279,0.2807523472346116,1.5,0.196,0.10615411865420396,0.2045508406950497
51.050000000000004,0.3284607672431108,0.13817463269184949,1.0,0.18225262134945275,0.8069611598950411,0.698208882699228,0.019951250861663685,0.004070212408039125,0.28072302174144464,1.5,0.196,0.10615588873452529,0.2045623389411739
