theta,s,open_regime,closed_regime,final_regime,B_open,B_closed
0.21000000000000002,1.2500000000000002,open,closed,bistable,0.10346324295801872,1.0
0.21000000000000002,1.3000000000000003,open,closed,bistable,0.12186929886392762,1.0
0.21000000000000002,1.35,intermediate,closed,bistable,0.219289758752926,1.0
0.21000000000000002,1.4000000000000004,closed,closed,closed,1.0,1.0
0.21000000000000002,1.4500000000000002,closed,closed,closed,1.0,1.0
0.21000000000000002,1.5000000000000004,closed,closed,closed,1.0,1.0
0.21000000000000002,1.5500000000000003,closed,closed,closed,1.0,1.0
0.21000000000000002,1.6,closed,closed,closed,1.0,1.0
0.22000000000000003,0.4,open,open,open,0.016130267587913208,0.016130269411351716
0.22000000000000003,0.45,open,open,open,0.017804152114054533,0.01780415423015256
0.22000000000000003,0.5,open,open,open,0.019648821044919936,0.019648823596639213
0.22000000000000003,0.55,open,open,open,0.021681041367692507,0.021681044598510932
0.22000000000000003,0.6000000000000001,open,open,open,0.023919076588337508,0.02391908094578686
0.22000000000000003,0.6500000000000001,open,open,open,0.02638278552402805,0.02638279191777651
0.22000000000000003,0.7000000000000001,open,open,open,0.029093719005058354,0.029093729552250692
0.22000000000000003,0.7500000000000001,open,open,open,0.03207521178270936,0.03207523244226271
0.22000000000000003,0.8,open,open,open,0.03535246624190699,0.03535251935133339
0.22000000000000003,0.8500000000000001,open,open,open,0.03895262371503396,0.03895284535196541
0.22000000000000003,0.9000000000000001,open,open,open,0.042904818290967546,0.04290751222312052
0.22000000000000003,0.9500000000000002,open,open,open,0.04724020702740473,0.048757209917756554
0.22000000000000003,1.0,open,closed,bistable,0.05199196943641713,0.9197471820154587
0.22000000000000003,1.0500000000000003,open,closed,bistable,0.05719526807517839,1.0
0.22000000000000003,1.1,open,closed,bistable,0.06288716111399985,1.0
0.22000000000000003,1.1500000000000001,open,closed,bistable,0.0691064569806234,1.0
0.22000000000000003,1.2000000000000002,open,closed,bistable,0.07589350073430651,1.0
0.22000000000000003,1.2500000000000002,open,closed,bistable,0.08328988187791435,1.0
0.22000000000000003,1.3000000000000003,open,closed,bistable,0.09133805406660922,1.0
0.22000000000000003,1.35,open,closed,bistable,0.10008085882030394,1.0
0.22000000000000003,1.4000000000000004,open,closed,bistable,0.10956094807649601,1.0
0.22000000000000003,1.4500000000000002,open,closed,bistable,0.18352394900596644,1.0
0.22000000000000003,1.5000000000000004,closed,closed,closed,0.997839278219235,1.0
