sigma,s,theta,rhoP,prob_closed_open_start,mean_B,std_B
0.03333333333333333,1.157142857142857,0.196,0.02,0.0,0.11157397370669347,0.0033781242043875656
0.03333333333333333,1.2142857142857144,0.196,0.02,0.0,0.11995700750621217,0.0035677744782352484
0.03333333333333333,1.2714285714285714,0.196,0.02,0.0,0.1287488625043637,0.0037597959513208956
0.03333333333333333,1.3285714285714287,0.196,0.02,0.0,0.1379601831608643,0.003953882023077462
0.03333333333333333,1.3857142857142857,0.196,0.02,0.0,0.14760326480321118,0.004149757748603969
0.03333333333333333,1.4428571428571428,0.196,0.02,0.0,0.15769227217031231,0.00434717600518631
0.03333333333333333,1.5,0.196,0.02,0.0,0.1682434429059906,0.004545912004953309
0.06666666666666667,0.7,0.196,0.02,0.0,0.0975119818129983,0.005739592064137895
0.06666666666666667,0.7571428571428571,0.196,0.02,0.0,0.10433153736419426,0.006026331917591015
0.06666666666666667,0.8142857142857143,0.196,0.02,0.0,0.11141873052009783,0.0063155302241393995
0.06666666666666667,0.8714285714285714,0.196,0.02,0.0,0.11877299028703973,0.006606533781279539
0.06666666666666667,0.9285714285714286,0.196,0.02,0.0,0.12639448911749823,0.006898738457240209
0.06666666666666667,0.9857142857142858,0.196,0.02,0.0,0.13428430637833208,0.007191595800225181
0.06666666666666667,1.0428571428571427,0.196,0.02,0.0,0.14244457511742814,0.007484616654919018
0.06666666666666667,1.1,0.196,0.02,0.0,0.15087861383092038,0.00777737199955185
0.06666666666666667,1.157142857142857,0.196,0.02,0.0,0.159591045512157,0.008069491316926358
0.06666666666666667,1.2142857142857144,0.196,0.02,0.0,0.16858790652208,0.008360658858229663
0.06666666666666667,1.2714285714285714,0.196,0.02,0.0,0.17787674780089308,0.008650608160088029
0.06666666666666667,1.3285714285714287,0.196,0.02,0.0,0.18746673068305186,0.008939115145291592
0.06666666666666667,1.3857142857142857,0.196,0.02,0.0,0.19736871911153386,0.009225990087280759
0.06666666666666667,1.4428571428571428,0.196,0.02,0.0,0.20759536938726847,0.009511068657433987
0.06666666666666667,1.5,0.196,0.02,0.0,0.21816121773122427,0.009794202209897442
0.1,0.7,0.196,0.02,0.0,0.15324248621773387,0.010541100148957979
0.1,0.7571428571428571,0.196,0.02,0.0,0.16061510615603877,0.010857069188167439
0.1,0.8142857142857143,0.196,0.02,0.0,0.1681502867914549,0.011169587764819295
0.1,0.8714285714285714,0.196,0.02,0.0,0.17584914178540387,0.011478328331030034
0.1,0.9285714285714286,0.196,0.02,0.0,0.18371371655012336,0.011783039754482394
0.1,0.9857142857142858,0.196,0.02,0.0,0.1917470327602529,0.01208354140714833
0.1,1.0428571428571427,0.196,0.02,0.0,0.19995313185518204,0.012379716396078457
0.1,1.1,0.196,0.02,0.0,0.20833711892371834,0.012671504182174735
0.1,1.157142857142857,0.196,0.02,0.0,0.21690520817666667,0.01295889278711515
0.1,1.2142857142857144,0.196,0.02,0.0,0.22566477098697885,0.013241910741067155
0.1,1.2714285714285714,0.196,0.02,0.0,0.23462438720576256,0.0135206188764387
0.1,1.3285714285714287,0.196,0.02,0.0,0.2437939001336775,0.013795102027098488
0.1,1.3857142857142857,0.196,0.02,0.0,0.25318447512206,0.014065460649217298
0.1,1.4428571428571428,0.196,0.02,0.0,0.2628086612697224,0.014331802339697988
0.1,1.5,0.196,0.02,0.0,0.27268045503434885,0.014594233191348133
0.13333333333333333,0.7,0.196,0.02,0.0,0.21014188704903444,0.015025864793155392
0.13333333333333333,0.7571428571428571,0.196,0.02,0.0,0.2173065930534497,0.01529214764455236
0.13333333333333333,0.8142857142857143,0.196,0.02,0.0,0.22457022041690458,0.01555234772210604
0.13333333333333333,0.8714285714285714,0.196,0.02,0.0,0.23193590668861488,0.015806660271418894
0.13333333333333333,0.9285714285714286,0.196,0.02,0.0,0.2394075053593375,0.016055315887154774
0.13333333333333333,0.9857142857142858,0.196,0.02,0.0,0.24698961075662454,0.016298573590022347
0.13333333333333333,1.0428571428571427,0.196,0.02,0.0,0.25468758625429216,0.016536714331384622
0.13333333333333333,1.1,0.196,0.02,0.0,0.26250759629287646,0.016770034923798516
0.13333333333333333,1.157142857142857,0.196,0.02,0.0,0.27045664259710817,0.016998842366353635
0.13333333333333333,1.2142857142857144,0.196,0.02,0.0,0.27854260484014104,0.017223448507963722
0.13333333333333333,1.2714285714285714,0.196,0.02,0.0,0.2867742858305965,0.017444164968876515
0.13333333333333333,1.3285714285714287,0.196,0.02,0.0,0.2951614610715458,0.01766129821971073
0.13333333333333333,1.3857142857142857,0.196,0.02,0.0,0.3037149322394806,0.017875144697410042
0.13333333333333333,1.4428571428571428,0.196,0.02,0.0,0.31244658372940104,0.01808598581783663
0.13333333333333333,1.5,0.196,0.02,0.0,0.3213694408757799,0.018294082724612526
0.16666666666666666,0.7,0.196,0.02,0.0,0.2612706535130729,0.0185134441820636
0.16666666666666666,0.7571428571428571,0.196,0.02,0.0,0.26790591593146595,0.01870827069831204
