rhoP,theta,s,open_regime,closed_regime,final_regime,B_open,B_closed,P_open,P_closed,U_open,U_closed
0.01,0.1431578947368421,1.1157894736842104,intermediate,closed,bistable,0.20032408379805727,1.0,0.8856690018857658,0.09762651522671228,0.3264478972977075,0.7704538826969524
0.01,0.1431578947368421,1.1842105263157894,intermediate,closed,bistable,0.21422301084545697,1.0,0.8828375099201932,0.09628018372658455,0.327619308810251,0.7709694004959224
0.01,0.1431578947368421,1.2526315789473683,intermediate,closed,bistable,0.2283796371461252,1.0,0.8799512343106228,0.09530865486902844,0.32887415612409643,0.7712828651266849
0.01,0.1431578947368421,1.3210526315789475,intermediate,closed,bistable,0.24276723942833583,1.0,0.8770242512898584,0.09459049921688728,0.33020497189131326,0.7714349293654267
0.01,0.1431578947368421,1.3894736842105264,intermediate,closed,bistable,0.2573987941506054,1.0,0.8740271802297657,0.09410733361823441,0.3316116096413,0.771625225356644
0.01,0.1431578947368421,1.4578947368421054,intermediate,closed,bistable,0.2722534458668726,1.0,0.8709632473266635,0.09373818404919576,0.33309393525616726,0.7716953315564391
0.01,0.1431578947368421,1.5263157894736843,intermediate,closed,bistable,0.28727507991698437,1.0,0.8678855593466916,0.09347395019445624,0.3346423755406762,0.7717434669140176
0.01,0.1431578947368421,1.5947368421052632,intermediate,closed,bistable,0.3025236996057021,1.0,0.864699782532506,0.09332745137899578,0.3362743866643863,0.7718632361798333
0.01,0.1431578947368421,1.6631578947368422,intermediate,closed,bistable,0.3179088134822839,1.0,0.8615121391182451,0.09319411054772321,0.3379694614666253,0.7718856376152918
0.01,0.1431578947368421,1.731578947368421,intermediate,closed,bistable,0.3334566102463053,1.0,0.8582744780476957,0.09309916398201971,0.33973747807323645,0.7719009318798773
0.01,0.1431578947368421,1.8,intermediate,closed,bistable,0.3491988943365134,1.0,0.8549243573525493,0.09303160756306754,0.3415951834399382,0.7719114706290782
0.01,0.15578947368421053,0.5,open,open,open,0.03538779391426183,0.09015414125012128,0.9027092164509756,0.40526363450369446,0.12841469785942794,0.3457922907702837
0.01,0.15578947368421053,0.5684210526315789,open,open,open,0.037660458918504724,0.09978250380253,0.9027196308394027,0.42036216500249446,0.13254763418468415,0.34819385156123267
0.01,0.15578947368421053,0.6368421052631579,open,open,open,0.040459848289864764,0.11014740521685687,0.9027340627538991,0.4388603631616552,0.13811773117739737,0.3504414460758816
0.01,0.15578947368421053,0.7052631578947368,open,open,open,0.04388069916839683,0.12113855842765775,0.9027221812890845,0.4607593761547797,0.1452563585090493,0.3524121485455455
0.01,0.15578947368421053,0.7736842105263158,open,open,open,0.048606571148249754,0.13270861657766236,0.9026889541165138,0.4850654252129894,0.1563145832190467,0.35408426345515487
0.01,0.15578947368421053,0.8421052631578947,open,open,open,0.11770120829599998,0.144703321763778,0.8954695472870297,0.5099087631724191,0.3215543733589547,0.35549083072893056
0.01,0.15578947368421053,0.9105263157894737,open,closed,bistable,0.12881937803706817,1.0,0.8927720980966604,0.10714938618809183,0.3219795528545745,0.7636163263194033
0.01,0.15578947368421053,0.9789473684210527,open,closed,bistable,0.14026830509732943,1.0,0.8899944907821289,0.10238232172970187,0.32264116416919486,0.7672514610935597
0.01,0.15578947368421053,1.0473684210526315,open,closed,bistable,0.15213460844619514,1.0,0.8870961887503861,0.09954550874696172,0.3234427887255559,0.7690507608933151
0.01,0.15578947368421053,1.1157894736842104,open,closed,bistable,0.16438335292287434,1.0,0.8840936710545407,0.0976160863888618,0.3243682166415564,0.7701171375754847
0.01,0.15578947368421053,1.1842105263157894,open,closed,bistable,0.17694517629633114,1.0,0.8810408605837818,0.09626413349959945,0.3254064160091727,0.7707833499337833
0.01,0.15578947368421053,1.2526315789473683,open,closed,bistable,0.18982696717504927,1.0,0.8779249909619351,0.09528418656948846,0.32653732228640336,0.7711341824061524
0.01,0.15578947368421053,1.3210526315789475,intermediate,closed,bistable,0.20303695243254963,1.0,0.874718119926749,0.09459073209115587,0.3277543561294904,0.7713965546096733
0.01,0.15578947368421053,1.3894736842105264,intermediate,closed,bistable,0.21654913316642832,1.0,0.8714254109445035,0.09410745102296182,0.3290570113145855,0.7716013096969171
0.01,0.15578947368421053,1.4578947368421054,intermediate,closed,bistable,0.23030378659465056,1.0,0.8681040434884596,0.09373824409955699,0.3304386964342538,0.7716798651227679
0.01,0.15578947368421053,1.5263157894736843,intermediate,closed,bistable,0.24427978194945058,1.0,0.8647699122962601,0.09347398062377985,0.3318933358928362,0.7717334740331238
0.01,0.15578947368421053,1.5947368421052632,intermediate,closed,bistable,0.2585332298344405,1.0,0.8613184569716983,0.09328527359775372,0.33343481232814093,0.7717700772769555
0.01,0.15578947368421053,1.6631578947368422,intermediate,closed,bistable,0.27297332016783576,1.0,0.8578695963286334,0.09319411796099501,0.33504575111856566,0.7718815585929515
0.01,0.15578947368421053,1.731578947368421,intermediate,closed,bistable,0.28766288629043574,1.0,0.8543027064199825,0.09309916767055401,0.3367475127489093,0.7718983549585466
0.01,0.15578947368421053,1.8,intermediate,closed,bistable,0.30251235689997735,1.0,0.8507523000471761,0.09303160938722031,0.3385156113000163,0.7719098084102587
0.01,0.16842105263157894,0.5,open,open,open,0.02679888966848438,0.07105719591621018,0.9019712296224803,0.3855739202056943,0.11559786875771348,0.34005198458247593
0.01,0.16842105263157894,0.5684210526315789,open,open,open,0.027774631378717465,0.07885628683750473,0.9019031238268888,0.3945043675111389,0.11672671621514744,0.3423906154512194
